[2025-10-02 12:26:56] Path: /Instructors/Create, User: Anonymous
[2025-10-02 12:26:56] Path: /css/site.css, User: Anonymous
[2025-10-02 12:26:57] Path: /Instructors, User: Anonymous
[2025-10-02 12:26:57] Path: /css/site.css, User: Anonymous
[2025-10-02 12:26:58] Path: /Instructors/Create, User: Anonymous
[2025-10-02 12:26:58] Path: /css/site.css, User: Anonymous
[2025-10-02 12:27:03] Path: /Instructors/Create, User: Anonymous
[2025-10-02 12:27:03] Path: /css/site.css, User: Anonymous
[2025-10-02 12:27:06] Path: /Instructors/Create, User: Anonymous
[2025-10-02 12:27:06] Path: /css/site.css, User: Anonymous
[2025-10-02 12:27:07] Path: /Instructors/Create, User: Anonymous
[2025-10-02 12:27:07] Path: /css/site.css, User: Anonymous
[2025-10-02 12:27:08] Path: /Instructors/Create, User: Anonymous
[2025-10-02 12:27:08] Path: /css/site.css, User: Anonymous
[2025-10-02 12:27:08] Path: /Instructors/Create, User: Anonymous
[2025-10-02 12:27:08] Path: /css/site.css, User: Anonymous
[2025-10-02 12:27:09] Path: /Instructors/Create, User: Anonymous
[2025-10-02 12:27:09] Path: /css/site.css, User: Anonymous
[2025-10-02 12:27:21] Path: /css/site.css, User: Anonymous
[2025-10-02 12:27:22] Path: /.well-known/appspecific/com.chrome.devtools.json, User: Anonymous
[2025-10-02 12:27:27] Path: /Instructors/Create, User: Anonymous
[2025-10-02 12:27:27] Path: /css/site.css, User: Anonymous
[2025-10-02 12:27:27] Path: /.well-known/appspecific/com.chrome.devtools.json, User: Anonymous
[2025-10-02 12:27:38] Path: /Instructors, User: Anonymous
[2025-10-02 12:27:38] Path: /css/site.css, User: Anonymous
[2025-10-02 12:27:38] Path: /.well-known/appspecific/com.chrome.devtools.json, User: Anonymous
[2025-10-02 12:27:41] Path: /Courses, User: Anonymous
[2025-10-02 12:27:41] Path: /css/site.css, User: Anonymous
[2025-10-02 12:27:42] Path: /Courses/Create, User: Anonymous
[2025-10-02 12:27:42] Path: /css/site.css, User: Anonymous
[2025-10-02 12:27:50] Path: /Courses/Create, User: Anonymous
[2025-10-02 12:27:50] Path: /css/site.css, User: Anonymous
[2025-10-02 12:27:54] Path: /Courses/Create, User: Anonymous
[2025-10-02 12:27:54] Path: /css/site.css, User: Anonymous
[2025-10-02 12:27:55] Path: /Courses/Create, User: Anonymous
[2025-10-02 12:27:55] Path: /css/site.css, User: Anonymous
[2025-10-02 12:27:59] Path: /css/site.css, User: Anonymous
[2025-10-02 12:27:59] Path: /.well-known/appspecific/com.chrome.devtools.json, User: Anonymous
[2025-10-02 12:28:04] Path: /Courses/Create, User: Anonymous
[2025-10-02 12:28:04] Path: /css/site.css, User: Anonymous
[2025-10-02 12:28:04] Path: /.well-known/appspecific/com.chrome.devtools.json, User: Anonymous
[2025-10-02 12:28:04] Path: /favicon.ico, User: Anonymous
[2025-10-02 12:28:12] Path: /Departments, User: Anonymous
[2025-10-02 12:28:12] Path: /css/site.css, User: Anonymous
[2025-10-02 12:28:12] Path: /, User: Anonymous
[2025-10-02 12:28:12] Path: /css/site.css, User: Anonymous
[2025-10-02 15:26:14] Path: /, User: Anonymous
[2025-10-02 15:26:24] Path: /css/site.css, User: Anonymous
[2025-10-02 15:26:38] Path: /Courses, User: Anonymous
[2025-10-02 15:26:49] Path: /CourseStudents, User: Anonymous
[2025-10-02 15:27:16] Path: /css/site.css, User: Anonymous
[2025-10-02 15:27:22] Path: /, User: Anonymous
[2025-10-02 15:27:22] Path: /css/site.css, User: Anonymous
[2025-10-02 15:27:24] Path: /, User: Anonymous
[2025-10-02 15:27:24] Path: /css/site.css, User: Anonymous
[2025-10-02 15:27:24] Path: /favicon.ico, User: Anonymous
